Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Arnold Ebiketie LB - ATL,Arnold Ebiketie,LB,ATL,@WAS,FA,1.0,1.0,,,,,,,,,,,,,1.0,,0.0
Samson Ebukam LB - IND,Samson Ebukam,LB,IND,PIT,FA,1.0,1.0,,,,,1.0,,,,,,,,2.0,,0.0
Tremaine Edmunds LB - CHI,Tremaine Edmunds,LB,CHI,@NYJ,FlyRamsFly,,,,,,,,,,,,,,,,,0.0
T.J. Edwards LB - CHI,T.J. Edwards,LB,CHI,@NYJ,Boppard Raiders,3.0,4.0,,,,,,,,,,,,,,,0.0
Emeke Egbule LB,Emeke Egbule,LB,,@IND,FA,,,,,,,,,,,,,,,,,0.0
Christian Elliss LB - PHI,Christian Elliss,LB,PHI,GB,FA,,,,,,,,,,,,,,,,,0.0
Kaden Elliss LB - ATL,Kaden Elliss,LB,ATL,@WAS,Slay,10.0,3.0,,,,,,,,,,,,,,,0.0
Kingsley Enagbare LB - GB,Kingsley Enagbare,LB,GB,@PHI,W (Oct 4),3.0,4.0,,,,,,,,,,,,1.0,,,0.0
Dorian Etheridge LB,Dorian Etheridge,LB,,Bye,FA,,,,,,,,,,,,,,,,,0.0
Rashaan Evans LB,Rashaan Evans,LB,,@WAS,FA,,,,,,,,,,,,,,,,,0.0
Olakunle Fatukasi LB Q,Olakunle Fatukasi LB,Q,,Bye,FA,,,,,,,,,,,,,,,,,0.0
Tony Fields II LB - CLE,Tony Fields II,LB,CLE,TB,FA,3.0,1.0,,1.0,,,,,,,,,,,,,0.0
Demetrius Flannigan-Fowles LB - SF Q,Demetrius,Flannigan,Fowles,NO,FA,,1.0,,,,,,,,,,,,,,,0.0
Tomon Fox LB - NYG,Tomon Fox,LB,NYG,Bye,FA,,,,,,,,,,,,,,,,,0.0
Zaire Franklin LB - IND,Zaire Franklin,LB,IND,PIT,Koblenz 87ers,5.0,6.0,,,,,,,,,,,,,,,0.0
Dennis Gardeck LB - ARI,Dennis Gardeck,LB,ARI,LAC,FlyRamsFly,1.0,,,,,,,,,,,,,,,,0.0
Chris Garrett LB,Chris Garrett,LB,,LV,FA,,,,,,,,,,,,,,,,,0.0
Jonathan Garvin LB,Jonathan Garvin,LB,,@PHI,FA,,,,,,,,,,,,,,,,,0.0
Rashan Gary LB - GB,Rashan Gary,LB,GB,@PHI,GLADIATORS of NORSCHT,,,,,,,,,,,,,,,,,0.0
DeMarquis Gates LB - CHI,DeMarquis Gates,LB,CHI,Bye,FA,,,,,,,,,,,,,,,,,0.0
Willie Gay Jr. LB - KC,Willie Gay Jr.,LB,KC,LA,FA,3.0,2.0,,1.0,,,,,,,,,,,,,0.0
Nate Gerry LB,Nate Gerry,LB,,Bye,FA,,,,,,,,,,,,,,,,,0.0
Jack Gibbens LB - TEN,Jack Gibbens,LB,TEN,Bye,FA,,,,,,,,,,,,,,,,,0.0
Luke Gifford LB - TEN O View News,Luke Gifford,LB,TEN,CIN,FA,,,,,,,,,,,,,,,,,0.0
Ulysees Gilbert LB,Ulysees Gilbert,LB,,@CLE,FA,2.0,,,,,,,,,,,,,,,,0.0
Trevis Gipson LB - TEN,Trevis Gipson,LB,TEN,@NYJ,FA,,1.0,,,,,,,,,,,,,,,0.0
Cameron Goode LB - MIA,Cameron Goode,LB,MIA,HOU,FA,,,,,,,,,,,,,,,,,0.0
Jalen Graham LB - SF,Jalen Graham,LB,SF,Bye,FA,,,,,,,,,,,,,,,,,0.0
Dre Greenlaw LB - SF Q,Dre Greenlaw,LB,SF,NO,Wbn Beasts,5.0,1.0,,,,,1.0,,,,,,,1.0,,,0.0
Jonas Griffith LB - DEN IR,Jonas Griffith,LB,DEN,@CAR,FA,,,,,,,,,,,,,,,,,0.0
Kamu Grugier-Hill LB - CAR,Kamu,Grugier,Hill,DEN,FA,1.0,,,,,,,,,,,,,,,,0.0
Derick Hall LB - SEA Q,Derick Hall,LB,SEA,Bye,FA,,,,,,,,,,,,,,,,,0.0
Terez Hall LB - NE IR,Terez Hall,LB,NE,Bye,FA,,,,,,,,,,,,,,,,,0.0
Nick Hampton LB - LA,Nick Hampton,LB,LA,Bye,FA,,,,,,,,,,,,,,,,,0.0
Jake Hansen LB - HOU,Jake Hansen,LB,HOU,Bye,FA,,,,,,,,,,,,,,,,,0.0
Daniel Hardy LB - CHI,Daniel Hardy,LB,CHI,@KC,FA,,,,,,,,,,,,,,,,,0.0
Devin Harper LB - CIN View News,Devin Harper,LB,CIN,NYG,FA,,,,,,,,,,,,,,,,,0.0
Christian Harris LB - HOU,Christian Harris,LB,HOU,@MIA,FA,1.0,1.0,,,,,,,,,,,,,,,0.0
Darius Harris LB Q,Darius Harris LB,Q,,LA,FA,,1.0,,,,,,,,,,,,,,,0.0
De'Jon Harris LB - WAS,De'Jon Harris,LB,WAS,ATL,FA,,,,,,,,,,,,,,,,,0.0
Malik Harrison LB - BAL,Malik Harrison,LB,BAL,@JAX,FA,,1.0,,,,,,,,,,,,,,,0.0
Daelin Hayes LB Q,Daelin Hayes LB,Q,,@JAX,FA,,,,,,,,,,,,,,,,,0.0
Daiyan Henley LB - LAC,Daiyan Henley,LB,LAC,Bye,FA,,,,,,,,,,,,,,,,,0.0
Nick Herbig LB - PIT,Nick Herbig,LB,PIT,Bye,FA,,,,,,,,,,,,,,,,,0.0
Jordan Hicks LB - MIN,Jordan Hicks,LB,MIN,NE,Wbn Beasts,6.0,2.0,1.0,,,,,,,,,,,,1.0,,0.0
Alex Highsmith LB - PIT,Alex Highsmith,LB,PIT,@IND,St Quintin Heidschnucken,4.0,2.0,1.0,,,1.0,,,,,,,,,2.0,,0.0
Cole Holcomb LB - PIT,Cole Holcomb,LB,PIT,@IND,Koblenz 87ers,,,,,,,,,,,,,,,,,0.0
Justin Hollins LB - GB,Justin Hollins,LB,GB,@PHI,W (Oct 4),2.0,,1.0,2.0,,,,,,,,,,,1.0,,0.0
James Houston LB - DET IR,James Houston,LB,DET,BUF,W (Oct 4),2.0,,2.0,2.0,,,1.0,,,,,,,,2.0,,0.0
Justin Houston LB - CAR,Justin Houston,LB,CAR,@JAX,FA,,,,,,,,,,,,,,,,,0.0
Khaleke Hudson LB - WAS,Khaleke Hudson,LB,WAS,ATL,FA,,,,,,,,,,,,,,,,,0.0
Jacob Hummel LB - LA,Jacob Hummel,LB,LA,Bye,FA,,,,,,,,,,,,,,,,,0.0
Danielle Hunter LB - MIN,Danielle Hunter,LB,MIN,NE,St Quintin Heidschnucken,2.0,,1.0,1.0,,,,,,,,,,,1.0,,0.0
Joel Iyiegbuniwe LB,Joel Iyiegbuniwe,LB,,DEN,FA,,1.0,,,,,,,,,,,,,,,0.0
Myles Jack LB,Myles Jack,LB,,@IND,FA,,,,,,,,,,,,,,,,,0.0
D'Marco Jackson LB - NO,D'Marco Jackson,LB,NO,@SF,FA,,,,,,,,,,,,,,,,,0.0
Storey Jackson LB,Storey Jackson,LB,,Bye,FA,,,,,,,,,,,,,,,,,0.0
