Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
T.J. Hockenson TE - MIN,T.J. Hockenson,TE,MIN,@MIA,Wbn Beasts,,,,,,,,,,,,,,,,0.0
Curtis Hodges TE - WAS,Curtis Hodges,TE,WAS,@CHI,FA,,,,,,,,,,,,,,,,0.0
Joel Honigford TE,Joel Honigford,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Austin Hooper TE - LV,Austin Hooper,TE,LV,Bye,FA,,,,,,,,,,,,,,,,0.0
Jesper Horsted TE - LV,Jesper Horsted,TE,LV,Bye,FA,,,,,,,,,,,,,,,,0.0
O.J. Howard TE,O.J. Howard,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Tanner Hudson TE - CIN,Tanner Hudson,TE,CIN,@NO,FA,,,,,,,,,,,,,,,,0.0
Tommy Hudson TE - NO,Tommy Hudson,TE,NO,Bye,FA,,,,,,,,,,,,,,,,0.0
Hayden Hurst TE - CAR,Hayden Hurst,TE,CAR,@LA,FA,,,,,,,3.0,21.0,,,,,,,,0.0
Tyree Jackson TE - NYG,Tyree Jackson,TE,NYG,DAL,FA,,,,,,,,,,,,,,,,0.0
Jesse James TE,Jesse James,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
E.J. Jenkins TE,E.J. Jenkins,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Juwan Johnson TE - NO,Juwan Johnson,TE,NO,CIN,Wbn Beasts,,,,,,,4.0,41.0,,,,,,,,0.0
Ryan Jones TE - NYG,Ryan Jones,TE,NYG,Bye,FA,,,,,,,,,,,,,,,,0.0
Brevin Jordan TE - HOU,Brevin Jordan,TE,HOU,Bye,FA,,,,,,,,,,,,,,,,0.0
Nikola Kalinic TE - LA,Nikola Kalinic,TE,LA,JAX,FA,,,,,,,,,,,,,,,,0.0
Hunter Kampmoyer TE - LAC,Hunter Kampmoyer,TE,LAC,DEN,FA,,,,,,,,,,,,,,,,0.0
Dalton Keene TE - HOU,Dalton Keene,TE,HOU,DAL,FA,,,,,,,,,,,,,,,,0.0
Travis Kelce TE - KC,Travis Kelce,TE,KC,BUF,dirty birds,,,,,4.0,,8.0,108.0,,,,,,,,0.0
Ko Kieft TE - TB,Ko Kieft,TE,TB,@PIT,FA,,,,,,,,,,,,,,,,0.0
Dalton Kincaid TE - BUF,Dalton Kincaid,TE,BUF,Bye,Magic Eulers,,,,,,,,,,,,,,,,0.0
George Kittle TE - SF,George Kittle,TE,SF,@ATL,Magic Eulers,,,,,,,8.0,83.0,,,,,,,,0.0
Cole Kmet TE - CHI,Cole Kmet,TE,CHI,WAS,FA,,,,,,,1.0,15.0,,,,,,,,0.0
Dawson Knox TE - BUF,Dawson Knox,TE,BUF,@KC,FA,,,,,,,3.0,37.0,1.0,,,,,,,0.0
Charlie Kolar TE - BAL,Charlie Kolar,TE,BAL,@NYG,FA,,,,,,,,,,,,,,,,0.0
Tucker Kraft TE - GB,Tucker Kraft,TE,GB,Bye,W (Oct 4),,,,,,,,,,,,,,,,0.0
Tyler Kroft TE - MIA View News,Tyler Kroft,TE,MIA,@ATL,FA,,,,,,,,,,,,,,,,0.0
Lucas Krull TE - DEN,Lucas Krull,TE,DEN,Bye,FA,,,,,,,,,,,,,,,,0.0
Zack Kuntz TE - NYJ,Zack Kuntz,TE,NYJ,Bye,FA,,,,,,,,,,,,,,,,0.0
Cameron Latu TE - SF IR,Cameron Latu,TE,SF,Bye,FA,,,,,,,,,,,,,,,,0.0
Isaiah Likely TE - BAL,Isaiah Likely,TE,BAL,@NYG,FA,,,,,,,2.0,30.0,,,,,,,,0.0
Hunter Long TE - LA IR,Hunter Long,TE,LA,CAR,FA,,,,,,,,,,,,,,,,0.0
Johnny Lumpkin TE,Johnny Lumpkin,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
